label,filter_var,xvalue_var,xvalue_var2,node_name
add Ts,Class == 'T',0,0.5,start
add Cs,Class == 'C',5,5.5,start
add As,Class == 'A',8,8.5,start
add MWAs,"Class %in% c( 'MWA', ""MWB"")",10,10.5,start
add SYPROlogs,Class == 'SYPROlog',12,12.5,start
add Ls,Class == 'L',15,15.5,start
add MWCs,Class == 'MWC',20,20.5,start
library',Class == 'T',0.8,1.3,library
library',"Class %in% c('T','C')",5.8,6.3,library
library',"Class %in% c('T','C', 'A')",8.8,9.3,library
library',"Class %in% c('T','C', 'A', 'MWA', 'MWB')",10.8,11.3,library
library',"Class %in% c('T','C', 'A', 'MWA', 'MWB', 'SYPROlog')",12.8,13.3,library
library',"Class %in% c('T','C', 'A', 'MWA', 'MWB', 'SYPROlog', 'L')",15.8,16.3,library
library',"Class %in% c('T','C', 'A', 'MWA', 'MWB', 'SYPROlog', 'L', 'MWC')",20.8,21.3,library
never_hit',detect_ever == 0 & reject_buffer == 0,23,23.5,never_hit
ever_hit',detect_ever == 1,24,24.5,ever_hit
t_sens',detect_ever == 1 & reject_buffer == 1,25,25.5,t_sens
tech2',detect_ever == 1 & hit1_rate <10 & reject_buffer == 0,26,26.5,tech2
tech1',detect_ever == 1 & hit1_rate >10 & reject_buffer == 0,27,27.5,tech1
